step,loss
401,11.871620178222656
402,11.688840866088867
403,11.81798267364502
404,11.727547645568848
405,11.753291130065918
406,11.807611465454102
407,11.727834701538086
408,11.743429183959961
409,11.781631469726562
410,11.73536491394043
411,11.800580024719238
412,11.749341011047363
413,11.850489616394043
414,11.779703140258789
415,11.788996696472168
416,11.825984001159668
417,11.85191535949707
418,11.861146926879883
419,11.729264259338379
420,11.819631576538086
421,11.703413963317871
422,11.798197746276855
423,11.730142593383789
424,11.764989852905273
425,11.730647087097168
426,11.821731567382812
427,11.715173721313477
428,11.745660781860352
429,11.777205467224121
430,11.822969436645508
431,11.761497497558594
432,11.78812026977539
433,11.727920532226562
434,11.69511604309082
435,11.752092361450195
436,11.86494255065918
437,11.795682907104492
438,11.778562545776367
439,11.746770858764648
440,11.730934143066406
441,11.838560104370117
442,11.681228637695312
443,11.790984153747559
444,11.733170509338379
445,11.697144508361816
446,11.732328414916992
447,11.707592964172363
448,11.79964828491211
449,11.87452507019043
450,11.748562812805176
451,11.765490531921387
452,11.679909706115723
453,11.677080154418945
454,11.798140525817871
455,11.766462326049805
456,11.74313735961914
457,11.787543296813965
458,11.764063835144043
459,11.717142105102539
460,11.732575416564941
461,11.76233196258545
462,11.766703605651855
463,11.663822174072266
464,11.674588203430176
465,11.715877532958984
466,11.90976619720459
467,11.812417030334473
468,11.709203720092773
469,11.786230087280273
470,11.65826416015625
471,11.743978500366211
472,11.753766059875488
473,11.80204963684082
474,11.742012977600098
475,11.772523880004883
476,11.820881843566895
477,11.83505630493164
478,11.781793594360352
479,11.741064071655273
480,11.753783226013184
481,11.826407432556152
482,11.721433639526367
483,11.711832046508789
484,11.86276626586914
485,11.80261516571045
486,11.959078788757324
487,11.76672077178955
488,11.701029777526855
489,11.799674034118652
490,11.783764839172363
491,11.83450698852539
492,11.821505546569824
493,11.815701484680176
494,11.649836540222168
495,11.828048706054688
496,11.707206726074219
497,11.77682876586914
498,11.783002853393555
499,11.721423149108887
500,11.737054824829102
501,11.707538604736328
502,11.626374244689941
503,11.663590431213379
504,11.754199028015137
505,11.770715713500977
506,11.76691722869873
507,11.780206680297852
508,11.849106788635254
509,11.803584098815918
510,11.808959007263184
511,11.769722938537598
512,11.748271942138672
513,11.67655086517334
514,11.724197387695312
515,11.616772651672363
516,11.773356437683105
517,11.684657096862793
518,11.785940170288086
519,11.807586669921875
520,11.756916999816895
521,11.705474853515625
522,11.737130165100098
523,11.669695854187012
524,11.692669868469238
525,11.760108947753906
526,11.672958374023438
527,11.666498184204102
528,11.783122062683105
529,11.650579452514648
530,11.719676971435547
531,11.735675811767578
532,11.74247932434082
533,11.771617889404297
534,11.791207313537598
535,11.697261810302734
536,11.685323715209961
537,11.730628967285156
538,11.77370548248291
539,11.771589279174805
540,11.527779579162598
541,11.605162620544434
542,11.812776565551758
543,11.779258728027344
544,11.62185001373291
545,11.823683738708496
546,11.765714645385742
547,11.665152549743652
548,11.686349868774414
549,11.816374778747559
550,11.795495986938477
551,11.826763153076172
552,11.749605178833008
553,11.597128868103027
554,11.689750671386719
555,11.828385353088379
556,11.674375534057617
557,11.825292587280273
558,11.780549049377441
559,11.782364845275879
560,11.810317039489746
561,11.776476860046387
562,11.723894119262695
563,11.723219871520996
564,11.689826965332031
565,11.681737899780273
566,11.750375747680664
567,11.736289024353027
568,11.699079513549805
569,11.640473365783691
570,11.762642860412598
571,11.727011680603027
572,11.784546852111816
573,11.809432983398438
574,11.779430389404297
575,11.67292594909668
576,11.753120422363281
577,11.698569297790527
578,11.774439811706543
579,11.711904525756836
580,11.639480590820312
581,11.74531364440918
582,11.860140800476074
583,11.76220989227295
584,11.755375862121582
585,11.826562881469727
586,11.782122611999512
587,11.799972534179688
588,11.655370712280273
589,11.699069023132324
590,11.745920181274414
591,11.639540672302246
592,11.70457935333252
593,11.760480880737305
594,11.737051963806152
595,11.770732879638672
596,11.680571556091309
597,11.68612289428711
598,11.786191940307617
599,11.603983879089355
600,11.654816627502441
601,11.661870956420898
602,11.53078842163086
603,11.829534530639648
604,11.702485084533691
605,11.695916175842285
606,11.720052719116211
607,11.762941360473633
608,11.69166374206543
609,11.796031951904297
610,11.834953308105469
611,11.763585090637207
612,11.796371459960938
613,11.674168586730957
614,11.718832015991211
615,11.785568237304688
616,11.76765251159668
617,11.769474983215332
618,11.619688034057617
619,11.735252380371094
620,11.725407600402832
621,11.554131507873535
622,11.742321968078613
623,11.742795944213867
624,11.710554122924805
625,11.727871894836426
626,11.790839195251465
627,11.6740140914917
628,11.822887420654297
629,11.815200805664062
630,11.739799499511719
631,11.646617889404297
632,11.772236824035645
633,11.700159072875977
634,11.725083351135254
635,11.735203742980957
636,11.79324722290039
637,11.722237586975098
638,11.73337173461914
